Integra, Acura, 01 00 99 98 97 96 95 94 93 92 91 90 89
Xterra, Nissan, 09 08 07 06 05 04 03 02 01 00
NX, Nissan, 93 92 91
Frontier, Nissan, 09 08 07 06 05 04 03 02 01 00 99 98
Titan, Nissan, 09 08 07 06 05 04
240SX, Nissan, 98 97 96 95 94 93 92 91 90 89
200SX, Nissan, 98 97 96 95
Rogue, Nissan, 09 08
Altima, Nissan, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93
300ZX, Nissan, 96 95 94 93 92 91 90 89
Minivan, Nissan,90
Murano, Nissan, 09 07 06 05 04 03
Pathfinder, Nissan, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Versa, Nissan, 09 08 07
Quest, Nissan, 09 08 07 06 05 04 02 01 00 99 98 97 96 95 94 93
Axxess, Nissan,90
350Z, Nissan, 08 07 06 05 04 03
Pulsar, Nissan, 90 89
Pathfinder Armada, Nissan,4
Intrigue, Oldsmobile, 02 01 00 99 98
LSS, Oldsmobile, 99 98 97
Bravada, Oldsmobile, 04 03 02 01 00 99 98 97 96 94 93 92 91
Silhouette, Oldsmobile, 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90
Cutlass Supreme, Oldsmobile, 97 96 95 94 93 92 91 90 89
Ciera, Oldsmobile, 96 95 94 93 92 91 90 89
98, Oldsmobile, 96 95 94 93 92 91 90 89
Alero, Oldsmobile, 04 03 02 01 00 99
Aurora, Oldsmobile, 03 02 01 99 98 97 96 95
Cutlass, Oldsmobile, 99 98 97
88, Oldsmobile, 99 98 97 96 95 94 93 92 91 90 89
Regency, Oldsmobile, 98 97
Achieva, Oldsmobile, 98 97 96 95 94 93 92
Custom Cruiser, Oldsmobile, 92 91 90
Calais, Oldsmobile, 91 90 89
Cutlass Cruiser, Oldsmobile, 94 93
Toronado, Oldsmobile, 92 91 90 89
405, Peugeot, 91 90 89
505, Peugeot, 91 89
Sundance, Plymouth, 94 93 92 91 90 89
Gran Fury, Plymouth,89
Colt, Plymouth, 94 93 92 91 90 89
Colt Vista, Plymouth, 94 93 92 91 90 89
Laser, Plymouth, 94 93 92 91 90
Horizon, Plymouth, 90 89
Neon, Plymouth, 01 00 99 98 97 96 95
Reliant, Plymouth,89
Breeze, Plymouth, 00 99 98 97 96
Voyager, Plymouth, 00 99 98 97 96 95 94 93 92 91 90 89
Acclaim, Plymouth, 95 94 93 92 91 90 89
Grand Voyager, Plymouth, 00 99 98 97 96 95 94 93 92 91 90 89
Prowler, Plymouth, 00 99 97
6000, Pontiac, 91 90 89
G5, Pontiac, 09 08 07
Safari, Pontiac,89
LeMans, Pontiac, 93 92 91 90 89
G8, Pontiac, 09 08
Grand Am, Pontiac, 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Sunbird, Pontiac, 94 93 92 91 90 89
Bonneville, Pontiac, 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Firebird, Pontiac, 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Trans Sport, Pontiac, 98 97 96 95 94 93 92 91 90
Montana, Pontiac, 05 04 03 02 01 00 99
Montana SV6, Pontiac, 06 05
Aztek, Pontiac, 05 04 03 02 01
Sunfire, Pontiac, 05 04 03 02 01 00 99 98 97 96 95
Vibe, Pontiac, 09 08 07 06 05 04 03
Torrent, Pontiac, 09 08 07 06
GTO, Pontiac, 06 05 04
Solstice, Pontiac, 08 07 06
G6, Pontiac, 09 08 07 06 05
Grand Prix, Pontiac, 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
911, Porsche, 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
928, Porsche, 95 94 93 91 90 89
944, Porsche, 91 90 89
Carrera GT, Porsche, 05 04
Cayman, Porsche, 08 07 06
Cayenne, Porsche, 08 06 05 04 03
968, Porsche, 95 94 93 92
Boxster, Porsche, 08 07 06 05 04 03 02 01 00 99 98 97
9-2X, Saab, 06 05
3-Sep, Saab, 08 07 06 05 04 03 02 01 00 99
5-Sep, Saab, 08 07 06 05 04 03 02 01 00 99
900, Saab, 98 97 96 95 94 93 92 91 90 89
9000, Saab, 98 97 96 95 94 93 92 91 90 89
9-7X, Saab, 08 07 06 05
L300, Saturn, 05 04 03 02 01
LW200, Saturn, 03 02 01
SKY, Saturn, 08 07
LS1, Saturn,0
Aura, Saturn, 09 08 07
LW300, Saturn, 03 02 01
LW1, Saturn,0
LS, Saturn,0
LW2, Saturn,0
LS2, Saturn,0
SW1, Saturn, 99 98 97 96 95 94 93
L200, Saturn, 03 02 01
Outlook, Saturn, 09 08 07
Astra, Saturn,8
SL, Saturn, 02 01 00 99 98 97 96 95 94 93 92 91
SC2, Saturn, 02 01 00 99 98 97 96 95 94 93
SL1, Saturn, 02 01 00 99 98 97 96 95 94 93 92 91
SW2, Saturn, 01 00 99 98 97 96 95 94 93
Relay, Saturn, 07 06 05
VUE, Saturn, 09 08 07 06 05 04 03 02
SC, Saturn, 92 91
SC1, Saturn, 02 01 00 99 98 97 96 95 94 93
L100, Saturn, 02 01
SL2, Saturn, 02 01 00 99 98 97 96 95 94 93 92 91
Ion, Saturn, 07 06 05 04 03
xB, Scion, 09 08 06 05 04
xA, Scion, 06 05 04
xD, Scion, 09 08
tC, Scion, 09 08 07 06 05
fortwo, Smart,8
827, Sterling, 91 90 89
DL, Subaru,89
Outback, Subaru, 09 08 07 06 05 04 03 02 01 00
GL, Subaru,89
XT, Subaru, 91 89
XT6, Subaru, 91 89
GL-10, Subaru,89
RX, Subaru,89
SVX, Subaru, 97 96 95 94 93 92
Baja, Subaru, 06 05 04 03
Forester, Subaru, 09 08 07 06 05 04 03 02 01 00 99 98
Loyale, Subaru, 94 93 92 91 90
Justy, Subaru, 94 93 92 91 90 89
Legacy, Subaru, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90
B9 Tribeca, Subaru, 07 06
Tribeca, Subaru, 09 08
Impreza, Subaru, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93
Sidekick, Suzuki, 98 97 96 95 94 93 92 91 90 89
Samurai, Suzuki, 95 94 93 92 91 90 89
Swift, Suzuki, 01 00 99 98 97 96 95 94 93 92 91 90 89
SX4, Suzuki, 08 07
XL7, Suzuki, 08 07
X-90, Suzuki, 98 97 96
Vitara, Suzuki, 04 03 02 01 00 99
Reno, Suzuki, 08 07 06 05
Aerio, Suzuki, 07 06 05 04 03 02
Forenza, Suzuki, 08 07 06 05 04
Verona, Suzuki, 06 05 04
Esteem, Suzuki, 02 01 00 99 98 97 96 95
XL-7, Suzuki, 06 05 04 03 02 01
Grand Vitara, Suzuki, 08 07 06 05 04 03 02 01 00 99
Echo, Toyota, 05 04 03 02 01 00
T100, Toyota, 98 97 96 95 94 93
Celica, Toyota, 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Supra, Toyota, 98 97 96 95 94 93 92 91 90 89
Tercel, Toyota, 98 97 96 95 94 93 92 91 90 89
MR2 Spyder, Toyota, 05 04 03 02 01 00
Solara, Toyota, 08 07 06 05 04 03 02 01 00 99
Prius, Toyota, 09 08 07 06 05 04 03 02 01
Matrix, Toyota, 09 08 07 06 05 04 03
4Runner, Toyota, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Sequoia, Toyota, 08 07 06 05 04 03 02 01
Highlander, Toyota, 09 08 07 06 05 04 03 02 01
Previa, Toyota, 97 96 95 94 93 92 91
FJ Cruiser, Toyota, 08 07
Pickup, Toyota, 95 94 93 92 91 90 89
Minivan, Toyota,89
Paseo, Toyota, 97 96 95 94 93 92
Avalon, Toyota, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95
Yaris, Toyota, 09 08 07
Corolla, Toyota, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Camry, Toyota, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Tacoma, Toyota, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95
RAV4, Toyota, 09 08 07 06 05 04 03 02 01 00 99 98 97 96
Sienna, Toyota, 09 08 07 06 05 04 03 02 01 00 99 98
Cressida, Toyota, 92 91 90 89
MR2, Toyota, 95 94 93 92 91 89
Tundra, Toyota, 09 08 07 06 05 04 03 02 01 00
Land Cruiser, Toyota, 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Routan, Volkswagen,9
R32, Volkswagen, 08 04
CC, Volkswagen,9
New Passat, Volkswagen,1
GLI, Volkswagen, 09 08
Golf III, Volkswagen, 95 94 93
Cabrio, Volkswagen, 02 01 00 99 98 97 96 95
New GTI, Volkswagen,99
Eurovan, Volkswagen, 03 02 01 00 99 93
Corrado, Volkswagen, 94 93 92 91 90
Jetta III, Volkswagen, 95 94 93
New Cabrio, Volkswagen,99
Fox, Volkswagen, 93 92 91 90 89
Cabriolet, Volkswagen, 93 92 91 90 89
Vanagon, Volkswagen, 91 90 89
New Golf, Volkswagen,99
New Jetta, Volkswagen, 05 99
Touareg 2, Volkswagen,8
Touareg, Volkswagen, 07 06 05 04
Phaeton, Volkswagen, 06 05 04
GTI, Volkswagen, 08 07 06 05 04 03 02 01 00 95 92 91 90 89
Eos, Volkswagen, 08 07
Jetta, Volkswagen, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 92 91 90 89
Golf, Volkswagen, 06 05 04 03 02 01 00 99 98 97 96 92 91 90 89
Passat, Volkswagen, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90
New Beetle, Volkswagen, 08 07 06 05 04 03 02 01 00 99 98
Rabbit, Volkswagen, 08 07 06
S40, Volvo, 09 08 07 06 05 04 03 02 01 00
XC90, Volvo, 08 07 06 05 04 03
740, Volvo, 92 91 90 89
Coupe, Volvo,91
S90, Volvo, 98 97
V40, Volvo, 04 03 02 01 00
760, Volvo, 90 89
C30, Volvo,8
240, Volvo, 93 92 91 90 89
XC70, Volvo, 08 07 06 05 04 03
S80, Volvo, 08 07 06 05 04 03 02 01 00 99
C70, Volvo, 08 07 06 04 03 02 01 00 99 98
960, Volvo, 97 96 95 94 93 92
V70, Volvo, 08 07 06 05 04 03 02 01 00 99 98
V50, Volvo, 08 07 06 05
850, Volvo, 97 96 95 94 93
940, Volvo, 95 94 93 92 91
S60, Volvo, 08 07 06 05 04 03 02 01
S70, Volvo, 00 99 98
780, Volvo, 90 89
V90, Volvo, 98 97
Cabrio, Yugo, 91 90
GVL, Yugo,89
GV, Yugo, 91 90 89
